are_images_connected,difficulty_in_understanding,is_text_in_left_image,is_text_in_right_image,left_image,overall_description,right_image,filename
,MEDIUM,TRUE,TRUE,"two happy people, where one of them is petting a cat sitting on a table, with a label ""Blue Cat"" written on the tabel.","The image is confusing, as initially, when the label reads ""Blue Cat"", the people are happy and are petting tha cat, but as soon as one of them realizes that the entire text reads ""Russian Blue Cat"", they seem to worried, and one of them throws away the cat. For some reason, the word ""Russian"" is a trigger word for them.","a worried person with hands on her head looking at a table with the label ""Russian Blue Cat"", while another angry person seems to be throwing away a cat.",20240101_173119.jpg
,EASY,,TRUE,an apparently rich person walking inside the airport with luggage.,"The image is ironical, as an apparently rich person walks inside the airport with luggage, but has to sleep on the floor  due to the flight being delayed and an absence of vacant seats in the airport.",a person sleeping on the floor of an airport with luggage due to a delayed flight and absence of vacant seats in the airport.,20240101_173927.jpg
,MEDIUM,,,red traffic light for stopping a person from crossing the street.,"The image is funny, as the traffic light for pedestrains is red, even though it is at a zebra crossing, which does not need a red light for stopping a pedestrain from crossing. Also, there are no people or vehicles around, which makes the image even funnier.","a red traffic light at a zebra crossing, with no persons or vehicles around.",20240101_174237.jpg
,EASY,,,a pair of scissors,"the image is funny, as the marking at the top of the packaging shows that you would need a pair of scissors to in-turn cut open the pair of scissors that is inside the packaging.","a pair of scissors inside a packaging, with a marking at the top showing that you would need to open it using a pair of scissors.",20240101_175847.jpg
,EASY,,,a person with hair dyed blue.,"The image is funny, as one person with a hair dyed blue seems to symbolize that the person is going against the grain, however, when we zoom out, the group of people have hair dyed in several, different colors, showing that, dyeing hair is the new normal.",a group of people having hair dyed in different colors.,20240101_181411.jpg
,EASY,,,an apparently clean bathroom sink.,"The image is funny, as the bathroom sink looks clean, but when you zoom into the touch power button, you can see fingerprint smudges.",The touch power button shows fingerprint smudges.,20240101_175107.jpg
,EASY,,,a bunch of toys.,"The image is ironical, as even though the dog owner has bought toys for the dog, the dog is playing with a slipper in its mouth.",a dog holding a slipper in its mouth.,20240101_175803.jpg
,EASY,TRUE,,"a relaxation kit, with several products intended to bring calm and peace to the person using the kit.","The image is ironical, as the relaxation kit is meant to relax and calm down the person using it during a bath, but the showering area is an enclosed space, which might instead tense up someone, especially if the person is claustrophobic.",a showering area with doors.,20240101_175820.jpg
,MEDIUM,TRUE,TRUE,"a t-shirt with ""Fight Club"" written on it (referring to the movie), along with a dialogue from the movie that says ""We work jobs we hate, to buy sh*t we don't need"".","The image is ironical, as the t-shirt says ""We work jobs we hate, to buy sh*t we don't need"", which is a rebellious message against the construct of office jobs. However, the person wearing the t-shirt seems to be working in an office environment. Also, the t-shirt might have been bought using the money earned via the very same job.","a person wearing a t-shirt that says ""Fight Club"", working on a computer system, with a water dispenser by the side.",20240101_172354.jpg
,EASY,,,an ergonomic chair.,"The image is ironical, as even though the ergonomic chair is meant to facilitate an upright and comfortable posture for the person sitting on it, the person sitting on it still has a bent posture, as the person is not utilizing the backrest.",a person sitting on a ergonomic chair with a bent spine.,20240101_173813.jpg
